
2025/02/01 (22:51:26) | ===> btop++ v.1.4.0
2025/02/01 (22:51:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (04:31:19) | ===> btop++ v.1.4.0
2025/02/02 (04:31:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (02:22:13) | ===> btop++ v.1.4.0
2025/02/06 (02:22:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (00:34:31) | ===> btop++ v.1.4.0
2025/02/08 (00:34:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (00:47:20) | ===> btop++ v.1.4.0
2025/02/08 (00:47:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (01:57:53) | ===> btop++ v.1.4.0
2025/02/14 (01:57:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (03:55:38) | ===> btop++ v.1.4.0
2025/03/08 (03:55:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (05:48:17) | ===> btop++ v.1.4.0
2025/03/08 (05:48:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (05:54:23) | ===> btop++ v.1.4.0
2025/03/08 (05:54:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (05:54:46) | ===> btop++ v.1.4.0
2025/03/08 (05:54:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (22:47:59) | ===> btop++ v.1.4.0
2025/03/08 (22:47:59) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/08 (22:48:21) | WARNING: Failed to join _runner thread on exit!

2025/03/13 (00:49:37) | ===> btop++ v.1.4.0
2025/03/13 (00:49:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (10:20:07) | ===> btop++ v.1.4.0
2025/03/25 (10:20:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (10:22:06) | ===> btop++ v.1.4.0
2025/03/25 (10:22:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (16:11:26) | ===> btop++ v.1.4.0
2025/04/08 (16:11:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (23:05:49) | ===> btop++ v.1.4.0
2025/04/16 (23:05:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/11 (11:24:54) | ===> btop++ v.1.4.0
2025/05/11 (11:24:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/14 (20:32:04) | ===> btop++ v.1.4.0
2025/05/14 (20:32:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/15 (13:08:30) | ===> btop++ v.1.4.0
2025/05/15 (13:08:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/24 (12:30:39) | ===> btop++ v.1.4.0
2025/05/24 (12:30:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (19:28:59) | ===> btop++ v.1.4.0
2025/05/29 (19:28:59) | WARNING: Intel GPU: Failed to initialize PMU
